Name,Age,Gender,Class,Fare,Survival
"Denbury, Mr. Herbert",25,Male,2nd,31.5,Died
"Dibden, Mr. William",18,Male,2nd,73.5,Died
"Doling, Miss. Elsie",18,Female,2nd,23,Survived
"Doling, Mrs. John T (Ada Julia Bone)",34,Female,2nd,23,Survived
"Downton, Mr. William James",54,Male,2nd,26,Died
"Drew, Master. Marshall Brines",8,Male,2nd,32.5,Survived
"Drew, Mr. James Vivian",42,Male,2nd,32.5,Died
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",34,Female,2nd,32.5,Survived
"Duran y More, Miss. Asuncion",27,Female,2nd,13.86,Survived
"Duran y More, Miss. Florentina",30,Female,2nd,13.86,Survived
"Eitemiller, Mr. George Floyd",23,Male,2nd,13,Died
"Enander, Mr. Ingvar",21,Male,2nd,13,Died
"Fahlstrom, Mr. Arne Jonas",18,Male,2nd,13,Died
"Faunthorpe, Mr. Harry",40,Male,2nd,26,Died
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29,Female,2nd,26,Survived
"Fillbrook, Mr. Joseph Charles",18,Male,2nd,10.5,Died
"Fox, Mr. Stanley Hubert",36,Male,2nd,13,Died
"Frost, Mr. Anthony Wood ""Archie""",,Male,2nd,0,Died
"Funk, Miss. Annie Clemmer",38,Female,2nd,13,Died
"Fynney, Mr. Joseph J",35,Male,2nd,26,Died
"Gale, Mr. Harry",38,Male,2nd,21,Died
"Gale, Mr. Shadrach",34,Male,2nd,21,Died
"Garside, Miss. Ethel",34,Female,2nd,13,Survived
"Gaskell, Mr. Alfred",16,Male,2nd,26,Died
"Gavey, Mr. Lawrence",26,Male,2nd,10.5,Died
"Gilbert, Mr. William",47,Male,2nd,10.5,Died
"Giles, Mr. Edgar",21,Male,2nd,11.5,Died
"Giles, Mr. Frederick Edward",21,Male,2nd,11.5,Died
"Giles, Mr. Ralph",24,Male,2nd,13.5,Died
"Gill, Mr. John William",24,Male,2nd,13,Died
"Gillespie, Mr. William Henry",34,Male,2nd,13,Died
"Givard, Mr. Hans Kristensen",30,Male,2nd,13,Died
"Greenberg, Mr. Samuel",52,Male,2nd,13,Died
"Hale, Mr. Reginald",30,Male,2nd,13,Died
"Hamalainen, Master. Viljo",1,Male,2nd,14.5,Survived
"Hamalainen, Mrs. William (Anna)",24,Female,2nd,14.5,Survived
"Harbeck, Mr. William H",44,Male,2nd,13,Died
"Harper, Miss. Annie Jessie ""Nina""",6,Female,2nd,33,Survived
"Harper, Rev. John",28,Male,2nd,33,Died
"Harris, Mr. George",62,Male,2nd,10.5,Survived
"Harris, Mr. Walter",30,Male,2nd,10.5,Died
"Hart, Miss. Eva Miriam",7,Female,2nd,26.25,Survived
"Hart, Mr. Benjamin",43,Male,2nd,26.25,Died
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",45,Female,2nd,26.25,Survived
"Herman, Miss. Alice",24,Female,2nd,65,Survived
"Herman, Miss. Kate",24,Female,2nd,65,Survived
"Herman, Mr. Samuel",49,Male,2nd,65,Died
"Herman, Mrs. Samuel (Jane Laver)",48,Female,2nd,65,Survived
"Hewlett, Mrs. (Mary D Kingcome)",55,Female,2nd,16,Survived
"Hickman, Mr. Leonard Mark",24,Male,2nd,73.5,Died
"Hickman, Mr. Lewis",32,Male,2nd,73.5,Died
"Hickman, Mr. Stanley George",21,Male,2nd,73.5,Died
"Hiltunen, Miss. Marta",18,Female,2nd,13,Died
"Hocking, Miss. Ellen ""Nellie""",20,Female,2nd,23,Survived
"Hocking, Mr. Richard George",23,Male,2nd,11.5,Died
"Hocking, Mr. Samuel James Metcalfe",36,Male,2nd,13,Died
"Hocking, Mrs. Elizabeth (Eliza Needs)",54,Female,2nd,23,Survived
"Hodges, Mr. Henry Price",50,Male,2nd,13,Died
"Hold, Mr. Stephen",44,Male,2nd,26,Died
"Hold, Mrs. Stephen (Annie Margaret Hill)",29,Female,2nd,26,Survived
"Hood, Mr. Ambrose Jr",21,Male,2nd,73.5,Died
"Hosono, Mr. Masabumi",42,Male,2nd,13,Survived
"Howard, Mr. Benjamin",63,Male,2nd,26,Died
"Howard, Mrs. Benjamin (Ellen Truelove Arman)",60,Female,2nd,26,Died
"Hunt, Mr. George Henry",33,Male,2nd,12.28,Died
"Ilett, Miss. Bertha",17,Female,2nd,10.5,Survived
"Jacobsohn, Mr. Sidney Samuel",42,Male,2nd,27,Died
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",24,Female,2nd,27,Survived
"Jarvis, Mr. John Denzil",47,Male,2nd,15,Died
"Jefferys, Mr. Clifford Thomas",24,Male,2nd,31.5,Died
"Jefferys, Mr. Ernest Wilfred",22,Male,2nd,31.5,Died
"Jenkin, Mr. Stephen Curnow",32,Male,2nd,10.5,Died
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",23,Female,2nd,13.79,Survived
"Kantor, Mr. Sinai",34,Male,2nd,26,Died
"Kantor, Mrs. Sinai (Miriam Sternin)",24,Female,2nd,26,Survived
"Karnes, Mrs. J Frank (Claire Bennett)",22,Female,2nd,21,Died
"Keane, Miss. Nora A",,Female,2nd,12.35,Survived
"Keane, Mr. Daniel",35,Male,2nd,12.35,Died
"Kelly, Mrs. Florence ""Fannie""",45,Female,2nd,13.5,Survived
"Kirkland, Rev. Charles Leonard",57,Male,2nd,12.35,Died
"Knight, Mr. Robert J",,Male,2nd,0,Died
"Kvillner, Mr. Johan Henrik Johannesson",31,Male,2nd,10.5,Died
"Lahtinen, Mrs. William (Anna Sylfven)",26,Female,2nd,26,Died
"Lahtinen, Rev. William",30,Male,2nd,26,Died
"Lamb, Mr. John Joseph",,Male,2nd,10.71,Died
"Laroche, Miss. Louise",1,Female,2nd,41.58,Survived
"Laroche, Miss. Simonne Marie Anne Andree",3,Female,2nd,41.58,Survived
"Laroche, Mr. Joseph Philippe Lemercier",25,Male,2nd,41.58,Died
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",22,Female,2nd,41.58,Survived
"Lehmann, Miss. Bertha",17,Female,2nd,12,Survived
"Leitch, Miss. Jessie Wills",,Female,2nd,33,Survived
"Lemore, Mrs. (Amelia Milley)",34,Female,2nd,10.5,Survived
"Levy, Mr. Rene Jacques",36,Male,2nd,12.88,Died
"Leyson, Mr. Robert William Norman",24,Male,2nd,10.5,Died
"Lingane, Mr. John",61,Male,2nd,12.35,Died
"Louch, Mr. Charles Alexander",50,Male,2nd,26,Died
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",42,Female,2nd,26,Survived
"Mack, Mrs. (Mary)",57,Female,2nd,10.5,Died
"Malachard, Mr. Noel",,Male,2nd,15.05,Died
"Mallet, Master. Andre",1,Male,2nd,37,Survived
"Mallet, Mr. Albert",31,Male,2nd,37,Died
"Mallet, Mrs. Albert (Antoinette Magnin)",24,Female,2nd,37,Survived
"Mangiavacchi, Mr. Serafino Emilio",,Male,2nd,15.58,Died
"Matthews, Mr. William John",30,Male,2nd,13,Died
"Maybery, Mr. Frank Hubert",40,Male,2nd,16,Died
"McCrae, Mr. Arthur Gordon",32,Male,2nd,13.5,Died
"McCrie, Mr. James Matthew",30,Male,2nd,13,Died
"McKane, Mr. Peter David",46,Male,2nd,26,Died
"Mellinger, Miss. Madeleine Violet",13,Female,2nd,19.5,Survived
"Mellinger, Mrs. (Elizabeth Anne Maidment)",41,Female,2nd,19.5,Survived
"Mellors, Mr. William John",19,Male,2nd,10.5,Survived
"Meyer, Mr. August",39,Male,2nd,13,Died
"Milling, Mr. Jacob Christian",48,Male,2nd,13,Died
"Mitchell, Mr. Henry Michael",70,Male,2nd,10.5,Died
"Montvila, Rev. Juozas",27,Male,2nd,13,Died
"Moraweck, Dr. Ernest",54,Male,2nd,14,Died
"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",39,Male,2nd,26,Died
"Mudd, Mr. Thomas Charles",16,Male,2nd,10.5,Died
"Myles, Mr. Thomas Francis",62,Male,2nd,9.69,Died
"Nasser, Mr. Nicholas",33,Male,2nd,30.07,Died
"Nasser, Mrs. Nicholas (Adele Achem)",14,Female,2nd,30.07,Survived
"Navratil, Master. Edmond Roger",2,Male,2nd,26,Survived
"Navratil, Master. Michel M",3,Male,2nd,26,Survived
"Navratil, Mr. Michel (""Louis M Hoffman"")",37,Male,2nd,26,Died
"Nesson, Mr. Israel",26,Male,2nd,13,Died
"Nicholls, Mr. Joseph Charles",19,Male,2nd,36.75,Died
"Norman, Mr. Robert Douglas",28,Male,2nd,13.5,Died
"Nourney, Mr. Alfred (""Baron von Drachstedt"")",20,Male,2nd,13.86,Survived
"Nye, Mrs. (Elizabeth Ramell)",29,Female,2nd,10.5,Survived
"Otter, Mr. Richard",39,Male,2nd,13,Died
"Oxenham, Mr. Percy Thomas",22,Male,2nd,10.5,Survived
"Padro y Manent, Mr. Julian",,Male,2nd,13.86,Survived
"Pain, Dr. Alfred",23,Male,2nd,10.5,Died
"Pallas y Castello, Mr. Emilio",29,Male,2nd,13.86,Survived
"Parker, Mr. Clifford Richard",28,Male,2nd,10.5,Died
"Parkes, Mr. Francis ""Frank""",,Male,2nd,0,Died
"Parrish, Mrs. (Lutie Davis)",50,Female,2nd,26,Survived
"Pengelly, Mr. Frederick William",19,Male,2nd,10.5,Died
"Pernot, Mr. Rene",,Male,2nd,15.05,Died
"Peruschitz, Rev. Joseph Maria",41,Male,2nd,13,Died
"Phillips, Miss. Alice Frances Louisa",21,Female,2nd,21,Survived
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",19,Female,2nd,26,Survived
"Phillips, Mr. Escott Robert",43,Male,2nd,21,Died
"Pinsky, Mrs. (Rosa)",32,Female,2nd,13,Survived
"Ponesell, Mr. Martin",34,Male,2nd,13,Died
"Portaluppi, Mr. Emilio Ilario Giuseppe",30,Male,2nd,12.74,Survived
"Pulbaum, Mr. Franz",27,Male,2nd,15.03,Died
"Quick, Miss. Phyllis May",2,Female,2nd,26,Survived
"Quick, Miss. Winifred Vera",8,Female,2nd,26,Survived
"Quick, Mrs. Frederick Charles (Jane Richards)",33,Female,2nd,26,Survived
"Reeves, Mr. David",36,Male,2nd,10.5,Died
"Renouf, Mr. Peter Henry",34,Male,2nd,21,Died
"Renouf, Mrs. Peter Henry (Lillian Jefferys)",30,Female,2nd,21,Survived
"Reynaldo, Ms. Encarnacion",28,Female,2nd,13,Survived
"Richard, Mr. Emile",23,Male,2nd,15.05,Died
"Richards, Master. George Sibley",1,Male,2nd,18.75,Survived
"Richards, Master. William Rowe",3,Male,2nd,18.75,Survived
"Richards, Mrs. Sidney (Emily Hocking)",24,Female,2nd,18.75,Survived
"Ridsdale, Miss. Lucy",50,Female,2nd,10.5,Survived
"Rogers, Mr. Reginald Harry",19,Male,2nd,10.5,Died
"Rugg, Miss. Emily",21,Female,2nd,10.5,Survived
"Schmidt, Mr. August",26,Male,2nd,13,Died
"Sedgwick, Mr. Charles Frederick Waddington",25,Male,2nd,13,Died
"Sharp, Mr. Percival James R",27,Male,2nd,26,Died
"Shelley, Mrs. William (Imanita Parrish Hall)",25,Female,2nd,26,Survived
"Silven, Miss. Lyyli Karoliina",18,Female,2nd,13,Survived
"Sincock, Miss. Maude",20,Female,2nd,36.75,Survived
"Sinkkonen, Miss. Anna",30,Female,2nd,13,Survived
"Sjostedt, Mr. Ernst Adolf",59,Male,2nd,13.5,Died
"Slayter, Miss. Hilda Mary",30,Female,2nd,12.35,Survived
"Slemen, Mr. Richard James",35,Male,2nd,10.5,Died
"Smith, Miss. Marion Elsie",40,Female,2nd,13,Survived
"Sobey, Mr. Samuel James Hayden",25,Male,2nd,13,Died
"Stanton, Mr. Samuel Ward",41,Male,2nd,15.05,Died
"Stokes, Mr. Philip Joseph",25,Male,2nd,10.5,Died
"Swane, Mr. George",19,Male,2nd,13,Died
"Sweet, Mr. George Frederick",14,Male,2nd,65,Died
"Toomey, Miss. Ellen",50,Female,2nd,10.5,Survived
"Troupiansky, Mr. Moses Aaron",23,Male,2nd,13,Died
"Trout, Mrs. William H (Jessie L)",28,Female,2nd,12.65,Survived
"Troutt, Miss. Edwina Celia ""Winnie""",27,Female,2nd,10.5,Survived
"Turpin, Mr. William John Robert",29,Male,2nd,21,Died
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27,Female,2nd,21,Died
"Veal, Mr. James",40,Male,2nd,13,Died
"Walcroft, Miss. Nellie",31,Female,2nd,21,Survived
"Ware, Mr. John James",30,Male,2nd,21,Died
"Ware, Mr. William Jeffery",23,Male,2nd,10.5,Died
"Ware, Mrs. John James (Florence Louise Long)",31,Female,2nd,21,Survived
"Watson, Mr. Ennis Hastings",,Male,2nd,0,Died
"Watt, Miss. Bertha J",12,Female,2nd,15.75,Survived
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40,Female,2nd,15.75,Survived
"Webber, Miss. Susan",33,Female,2nd,13,Survived
"Weisz, Mr. Leopold",27,Male,2nd,26,Died
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29,Female,2nd,26,Survived
"Wells, Master. Ralph Lester",2,Male,2nd,23,Survived
"Wells, Miss. Joan",4,Female,2nd,23,Survived
"Wells, Mrs. Arthur Henry (""Addie"" Dart Trevaskis)",29,Female,2nd,23,Survived
"West, Miss. Barbara J",1,Female,2nd,27.75,Survived
"West, Miss. Constance Mirium",5,Female,2nd,27.75,Survived
"West, Mr. Edwy Arthur",36,Male,2nd,27.75,Died
"West, Mrs. Edwy Arthur (Ada Mary Worth)",33,Female,2nd,27.75,Survived
"Wheadon, Mr. Edward H",66,Male,2nd,10.5,Died
"Wheeler, Mr. Edwin ""Frederick""",,Male,2nd,12.88,Died
"Wilhelms, Mr. Charles",31,Male,2nd,13,Survived
"Williams, Mr. Charles Eugene",,Male,2nd,13,Survived
"Wright, Miss. Marion",26,Female,2nd,13.5,Survived
"Yrois, Miss. Henriette (""Mrs Harbeck"")",24,Female,2nd,13,Died
"Abbing, Mr. Anthony",42,Male,3rd,7.55,Died
"Abbott, Master. Eugene Joseph",13,Male,3rd,20.25,Died
"Abbott, Mr. Rossmore Edward",16,Male,3rd,20.25,Died
"Abbott, Mrs. Stanton (Rosa Hunt)",35,Female,3rd,20.25,Survived
"Abelseth, Miss. Karen Marie",16,Female,3rd,7.65,Survived
"Abelseth, Mr. Olaus Jorgensen",25,Male,3rd,7.65,Survived
"Abrahamsson, Mr. Abraham August Johannes",20,Male,3rd,7.93,Survived
"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",18,Female,3rd,7.23,Survived
"Adahl, Mr. Mauritz Nils Martin",30,Male,3rd,7.25,Died
"Adams, Mr. John",26,Male,3rd,8.05,Died
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40,Female,3rd,9.48,Died
"Aks, Master. Philip Frank",1,Male,3rd,9.35,Survived
"Aks, Mrs. Sam (Leah Rosen)",18,Female,3rd,9.35,Survived
"Albimona, Mr. Nassef Cassem",26,Male,3rd,18.79,Survived
"Alexander, Mr. William",26,Male,3rd,7.89,Died
"Alhomaki, Mr. Ilmari Rudolf",20,Male,3rd,7.93,Died
"Ali, Mr. Ahmed",24,Male,3rd,7.05,Died
"Ali, Mr. William",25,Male,3rd,7.05,Died
"Allen, Mr. William Henry",35,Male,3rd,8.05,Died
"Allum, Mr. Owen George",18,Male,3rd,8.3,Died
"Andersen, Mr. Albert Karvin",32,Male,3rd,22.53,Died
"Andersen-Jensen, Miss. Carla Christine Nielsine",19,Female,3rd,7.85,Survived
"Andersson, Master. Sigvard Harald Elias",4,Male,3rd,31.28,Died
"Andersson, Miss. Ebba Iris Alfrida",6,Female,3rd,31.28,Died
"Andersson, Miss. Ellis Anna Maria",2,Female,3rd,31.28,Died
"Andersson, Miss. Erna Alexandra",17,Female,3rd,7.93,Survived
"Andersson, Miss. Ida Augusta Margareta",38,Female,3rd,7.78,Died
"Andersson, Miss. Ingeborg Constanzia",9,Female,3rd,31.28,Died
"Andersson, Miss. Sigrid Elisabeth",11,Female,3rd,31.28,Died
"Andersson, Mr. Anders Johan",39,Male,3rd,31.28,Died
"Andersson, Mr. August Edvard (""Wennerstrom"")",27,Male,3rd,7.8,Survived
"Andersson, Mr. Johan Samuel",26,Male,3rd,7.78,Died
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",39,Female,3rd,31.28,Died
"Andreasson, Mr. Paul Edvin",20,Male,3rd,7.85,Died
"Angheloff, Mr. Minko",26,Male,3rd,7.9,Died
"Arnold-Franchi, Mr. Josef",25,Male,3rd,17.8,Died
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18,Female,3rd,17.8,Died
"Aronsson, Mr. Ernst Axel Algot",24,Male,3rd,7.78,Died
"Asim, Mr. Adola",35,Male,3rd,7.05,Died
"Asplund, Master. Carl Edgar",5,Male,3rd,31.39,Died
"Asplund, Master. Clarence Gustaf Hugo",9,Male,3rd,31.39,Died
"Asplund, Master. Edvin Rojj Felix",3,Male,3rd,31.39,Survived
"Asplund, Master. Filip Oscar",13,Male,3rd,31.39,Died
"Asplund, Miss. Lillian Gertrud",5,Female,3rd,31.39,Survived
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",40,Male,3rd,31.39,Died
"Asplund, Mr. Johan Charles",23,Male,3rd,7.8,Survived
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38,Female,3rd,31.39,Survived
"Assaf Khalil, Mrs. Mariana (""Miriam"")",45,Female,3rd,7.23,Survived
"Assaf, Mr. Gerios",21,Male,3rd,7.23,Died
"Assam, Mr. Ali",23,Male,3rd,7.05,Died
"Attalah, Miss. Malake",17,Female,3rd,14.46,Died
"Attalah, Mr. Sleiman",30,Male,3rd,7.23,Died
"Augustsson, Mr. Albert",23,Male,3rd,7.85,Died
"Ayoub, Miss. Banoura",13,Female,3rd,7.23,Survived
"Baccos, Mr. Raffull",20,Male,3rd,7.23,Died
"Backstrom, Mr. Karl Alfred",32,Male,3rd,15.85,Died
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33,Female,3rd,15.85,Survived
"Baclini, Miss. Eugenie",1,Female,3rd,19.26,Survived
"Baclini, Miss. Helene Barbara",1,Female,3rd,19.26,Survived
"Baclini, Miss. Marie Catherine",5,Female,3rd,19.26,Survived
"Baclini, Mrs. Solomon (Latifa Qurban)",24,Female,3rd,19.26,Survived
"Badman, Miss. Emily Louisa",18,Female,3rd,8.05,Survived
"Badt, Mr. Mohamed",40,Male,3rd,7.23,Died
"Balkic, Mr. Cerin",26,Male,3rd,7.9,Died
"Barah, Mr. Hanna Assi",20,Male,3rd,7.23,Survived
"Barbara, Miss. Saiide",18,Female,3rd,14.45,Died
"Barbara, Mrs. (Catherine David)",45,Female,3rd,14.45,Died
"Barry, Miss. Julia",27,Female,3rd,7.88,Died
"Barton, Mr. David John",22,Male,3rd,8.05,Died
"Beavan, Mr. William Thomas",19,Male,3rd,8.05,Died
"Bengtsson, Mr. John Viktor",26,Male,3rd,7.78,Died
"Berglund, Mr. Karl Ivar Sven",22,Male,3rd,9.35,Died
"Betros, Master. Seman",,Male,3rd,7.23,Died
"Betros, Mr. Tannous",20,Male,3rd,4.01,Died
"Bing, Mr. Lee",32,Male,3rd,56.5,Survived
"Birkeland, Mr. Hans Martin Monsen",21,Male,3rd,7.78,Died
"Bjorklund, Mr. Ernst Herbert",18,Male,3rd,7.75,Died
"Bostandyeff, Mr. Guentcho",26,Male,3rd,7.9,Died
"Boulos, Master. Akar",6,Male,3rd,15.25,Died
"Boulos, Miss. Nourelain",9,Female,3rd,15.25,Died
"Boulos, Mr. Hanna",,Male,3rd,7.23,Died
"Boulos, Mrs. Joseph (Sultana)",,Female,3rd,15.25,Died
"Bourke, Miss. Mary",,Female,3rd,7.75,Died
"Bourke, Mr. John",40,Male,3rd,15.5,Died
"Bourke, Mrs. John (Catherine)",32,Female,3rd,15.5,Died
"Bowen, Mr. David John ""Dai""",21,Male,3rd,16.1,Died
"Bradley, Miss. Bridget Delia",22,Female,3rd,7.73,Survived
"Braf, Miss. Elin Ester Maria",20,Female,3rd,7.85,Died
"Braund, Mr. Lewis Richard",29,Male,3rd,7.05,Died
"Braund, Mr. Owen Harris",22,Male,3rd,7.25,Died
"Brobeck, Mr. Karl Rudolf",22,Male,3rd,7.8,Died
"Brocklebank, Mr. William Alfred",35,Male,3rd,8.05,Died
"Buckley, Miss. Katherine",19,Female,3rd,7.28,Died
"Buckley, Mr. Daniel",21,Male,3rd,7.82,Survived
"Burke, Mr. Jeremiah",19,Male,3rd,6.75,Died
"Burns, Miss. Mary Delia",18,Female,3rd,7.88,Died
"Cacic, Miss. Manda",21,Female,3rd,8.66,Died
"Cacic, Miss. Marija",30,Female,3rd,8.66,Died
"Cacic, Mr. Jego Grga",18,Male,3rd,8.66,Died
"Cacic, Mr. Luka",38,Male,3rd,8.66,Died
"Calic, Mr. Jovo",17,Male,3rd,8.66,Died
"Calic, Mr. Petar",17,Male,3rd,8.66,Died
"Canavan, Miss. Mary",21,Female,3rd,7.75,Died
"Canavan, Mr. Patrick",21,Male,3rd,7.75,Died
"Cann, Mr. Ernest Charles",21,Male,3rd,8.05,Died
"Caram, Mr. Joseph",,Male,3rd,14.46,Died
"Caram, Mrs. Joseph (Maria Elias)",,Female,3rd,14.46,Died
"Carlsson, Mr. August Sigfrid",28,Male,3rd,7.8,Died
"Carlsson, Mr. Carl Robert",24,Male,3rd,7.85,Died
"Carr, Miss. Helen ""Ellen""",16,Female,3rd,7.75,Survived
"Carr, Miss. Jeannie",37,Female,3rd,7.75,Died
"Carver, Mr. Alfred John",28,Male,3rd,7.25,Died
"Celotti, Mr. Francesco",24,Male,3rd,8.05,Died
"Charters, Mr. David",21,Male,3rd,7.73,Died
"Chip, Mr. Chang",32,Male,3rd,56.5,Survived
"Christmann, Mr. Emil",29,Male,3rd,8.05,Died
"Chronopoulos, Mr. Apostolos",26,Male,3rd,14.45,Died
"Chronopoulos, Mr. Demetrios",18,Male,3rd,14.45,Died
"Coelho, Mr. Domingos Fernandeo",20,Male,3rd,7.05,Died
"Cohen, Mr. Gurshon ""Gus""",18,Male,3rd,8.05,Survived
"Colbert, Mr. Patrick",24,Male,3rd,7.25,Died
"Coleff, Mr. Peju",36,Male,3rd,7.5,Died
"Coleff, Mr. Satio",24,Male,3rd,7.5,Died
"Conlon, Mr. Thomas Henry",31,Male,3rd,7.73,Died
"Connaghton, Mr. Michael",31,Male,3rd,7.75,Died
"Connolly, Miss. Kate",22,Female,3rd,7.75,Survived
"Connolly, Miss. Kate",30,Female,3rd,7.63,Died
"Connors, Mr. Patrick",71,Male,3rd,7.75,Died
"Cook, Mr. Jacob",43,Male,3rd,8.05,Died
"Cor, Mr. Bartol",35,Male,3rd,7.9,Died
"Cor, Mr. Ivan",27,Male,3rd,7.9,Died
"Cor, Mr. Liudevit",19,Male,3rd,7.9,Died
"Corn, Mr. Harry",30,Male,3rd,8.05,Died
"Coutts, Master. Eden Leslie ""Neville""",9,Male,3rd,15.9,Survived
"Coutts, Master. William Loch ""William""",3,Male,3rd,15.9,Survived
"Coutts, Mrs. William (Winnie ""Minnie"" Treanor)",36,Female,3rd,15.9,Survived
"Coxon, Mr. Daniel",59,Male,3rd,7.25,Died
"Crease, Mr. Ernest James",19,Male,3rd,8.16,Died
"Cribb, Miss. Laura Alice",17,Female,3rd,16.1,Survived
"Cribb, Mr. John Hatfield",44,Male,3rd,16.1,Died
"Culumovic, Mr. Jeso",17,Male,3rd,8.66,Died
"Daher, Mr. Shedid",23,Male,3rd,7.23,Died
"Dahl, Mr. Karl Edwart",45,Male,3rd,8.05,Survived
"Dahlberg, Miss. Gerda Ulrika",22,Female,3rd,10.52,Died
"Dakic, Mr. Branko",19,Male,3rd,10.17,Died
"Daly, Miss. Margaret Marcella ""Maggie""",30,Female,3rd,6.95,Survived
"Daly, Mr. Eugene Patrick",29,Male,3rd,7.75,Survived
"Danbom, Master. Gilbert Sigvard Emanuel",0,Male,3rd,14.4,Died
"Danbom, Mr. Ernst Gilbert",34,Male,3rd,14.4,Died
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",28,Female,3rd,14.4,Died
"Danoff, Mr. Yoto",27,Male,3rd,7.9,Died
"Dantcheff, Mr. Ristiu",25,Male,3rd,7.9,Died
"Davies, Mr. Alfred J",24,Male,3rd,24.15,Died
"Davies, Mr. Evan",22,Male,3rd,8.05,Died
"Davies, Mr. John Samuel",21,Male,3rd,24.15,Died
"Davies, Mr. Joseph",17,Male,3rd,8.05,Died
"Davison, Mr. Thomas Henry",,Male,3rd,16.1,Died
"Davison, Mrs. Thomas Henry (Mary E Finck)",,Female,3rd,16.1,Survived
"de Messemaeker, Mr. Guillaume Joseph",37,Male,3rd,17.4,Survived
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",36,Female,3rd,17.4,Survived
"de Mulder, Mr. Theodore",30,Male,3rd,9.5,Survived
"de Pelsmaeker, Mr. Alfons",16,Male,3rd,9.5,Died
"Dean, Master. Bertram Vere",1,Male,3rd,20.58,Survived
"Dean, Miss. Elizabeth Gladys ""Millvina""",0,Female,3rd,20.58,Survived
"Dean, Mr. Bertram Frank",26,Male,3rd,20.58,Died
"Dean, Mrs. Bertram (Eva Georgetta Light)",33,Female,3rd,20.58,Survived
"Delalic, Mr. Redjo",25,Male,3rd,7.9,Died
"Demetri, Mr. Marinko",,Male,3rd,7.9,Died
"Denkoff, Mr. Mitto",,Male,3rd,7.9,Died
"Dennis, Mr. Samuel",22,Male,3rd,7.25,Died
"Dennis, Mr. William",36,Male,3rd,7.25,Died
"Devaney, Miss. Margaret Delia",19,Female,3rd,7.88,Survived
"Dika, Mr. Mirko",17,Male,3rd,7.9,Died
"Dimic, Mr. Jovan",42,Male,3rd,8.66,Died
"Dintcheff, Mr. Valtcho",43,Male,3rd,7.9,Died
"Doharr, Mr. Tannous",,Male,3rd,7.23,Died
"Dooley, Mr. Patrick",32,Male,3rd,7.75,Died
"Dorking, Mr. Edward Arthur",19,Male,3rd,8.05,Survived
"Dowdell, Miss. Elizabeth",30,Female,3rd,12.48,Survived
"Doyle, Miss. Elizabeth",24,Female,3rd,7.75,Died
"Drapkin, Miss. Jennie",23,Female,3rd,8.05,Survived
"Drazenoic, Mr. Jozef",33,Male,3rd,7.9,Died
"Duane, Mr. Frank",65,Male,3rd,7.75,Died
"Duquemin, Mr. Joseph",24,Male,3rd,7.55,Survived
"Dyker, Mr. Adolf Fredrik",23,Male,3rd,13.9,Died
"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",22,Female,3rd,13.9,Survived
"Edvardsson, Mr. Gustaf Hjalmar",18,Male,3rd,7.78,Died
"Eklund, Mr. Hans Linus",16,Male,3rd,7.78,Died
"Ekstrom, Mr. Johan",45,Male,3rd,6.98,Died
"Elias, Mr. Dibo",,Male,3rd,7.23,Died
"Elias, Mr. Joseph",39,Male,3rd,7.23,Died
"Elias, Mr. Joseph Jr",17,Male,3rd,7.23,Died
"Elias, Mr. Tannous",15,Male,3rd,7.23,Died
"Elsbury, Mr. William James",47,Male,3rd,7.25,Died
"Emanuel, Miss. Virginia Ethel",5,Female,3rd,12.48,Survived
"Emir, Mr. Farred Chehab",,Male,3rd,7.23,Died
"Everett, Mr. Thomas James",41,Male,3rd,15.1,Died
"Farrell, Mr. James",41,Male,3rd,7.75,Died
"Finoli, Mr. Luigi",,Male,3rd,7.05,Survived
"Fischer, Mr. Eberhard Thelander",18,Male,3rd,7.8,Died
"Fleming, Miss. Honora",,Female,3rd,7.75,Died
"Flynn, Mr. James",,Male,3rd,7.75,Died
"Flynn, Mr. John",,Male,3rd,6.95,Died
